8.5,61.5
63.313,177.88
64,150
64.5,155
65.8,206.5
68,167
69.5,163.2
71.313,154.94
71.2,149.5
71.5,181
76,140.5
75,170
76.545,185.45
78.083,247.92
78.5,258.5
80,208
81,178
82.875,193.13
86,123
86,159
86.125,176.88
87,229.5
86.5,239.5
87.8,264.5
87.5,301.5
90.5,120.5
95,118
98.071,252.29
100.13,177.88
107.11,188.17
107.69,263.92
108.88,166.88
110.5,258.5
110.5,213.5
112.7,225.8
112.5,221.5
118.5,151
120.88,170.65
118.5,196.5
118.5,220.5
119.5,211
121.13,155.13
122.75,254.58
122.5,160.5
125.5,131.5
126.45,152.55
127.12,163.53
126.5,171.5
127,217
128.3,175.4
128.56,253.89
129.5,142.5
129.13,182.13
132,132
137.32,156.41
135.36,170.91
135.5,252.5
137,123
137.5,211.5
138.5,133.5
140.88,147.71
140.67,164.39
140.88,138.13
141.5,103.5
142.5,206.5
142.5,227.5
142.5,252.5
143.5,128.5
143.5,154
143.88,306.88
144.5,159.5
149.25,163.67
145.5,244.5
149.89,156.53
146.5,221.5
147,255.5
147.93,143.4
150.5,132
151.5,169.67
152.5,245.5
155,257.5
155.5,98.5
156.52,184.52
157.5,289.5
158.5,154.5
158.5,267.5
160.45,158.45
160.5,169
159.5,255.5
160.5,263.5
164.09,94.818
162.5,227.5
162.5,298.5
163.5,98.5
164.79,147
163.5,164
164.2,181.5
166,141.5
166.55,167.45
166.5,175
166.5,269.5
167.5,155.5
170,152.9
169.5,219.5
170.5,113.5
171.5,160.8
170.5,165.5
170.5,247.5
173.85,155.38
172.5,295.5
173.5,236.5
174.5,313.5
176.44,145.11
176.5,163.5
177.5,225.5
176.5,300
177.5,236.5
181.7,107.2
182,198.9
184.52,150.74
183.5,218.5
186.5,295
188.2,155.5
188.5,118.5
189.5,201.5
192.2,104.5
192.91,236.82
194,154.5
194.5,111.5
195.67,127.5
197.08,199.58
196.5,119.5
197.91,132.64
198.44,142.89
199.62,107.23
198.5,194.5
198.5,322.5
202,99.55
200,234
202.2,114.5
201.5,213.5
203.21,221.86
203.5,122
203.82,129.09
203.5,170.5
206.5,234.5
208.5,216.5
209.13,125.13
211,134.5
210.5,212.5
212.45,119.55
213.21,192.71
211.5,330.5
212.5,202.5
216,201.5
215.5,215.5
219,115
218.5,121.5
218.5,169.5
219.5,188.5
221,205.25
219.5,136.5
219.5,164
220.5,216.5
221.15,101
220.5,211.5
221.5,157
222.5,166.5
222.5,322
226.78,175.94
224.5,210.5
225.5,170.5
227.07,188.87
225.5,221.5
227,193
227.5,227.8
228.5,283
230.5,162.5
230.5,223.5
231.5,169.5
233.55,156.91
232.5,213.5
232.5,218
232.5,245.5
234,150
233.5,187.5
233.5,206.5
233.5,225.5
234.5,228.5
236.7,167.52
236.36,178.57
235.5,203.5
237.5,129.5
238.7,208.6
237.5,301
239.56,155.11
238.5,159
238.5,234.5
240.56,195.89
240.2,227.7
239.5,295.5
240.5,128
242.5,214.5
244.2,136.5
244.06,149.78
244,161
244.86,182
243.5,292.5
245,198.5
245.5,229
244.5,299.5
247.36,216.91
250.46,156
250.36,173.91
250.55,229.45
251.2,136.7
250.8,150.7
251.36,195.45
252,123.5
251.92,202.46
251.5,211.5
252.3,221.4
253,189.5
254,111.5
253.5,181
254.8,163.3
255.5,170.2
256.09,227.55
256.5,179.5
258.05,184.43
256.5,223.5
257.5,158.5
258,189.5
258,216.5
257.5,288.5
259,121.5
260.42,203.79
260.5,161.5
262.13,196.88
263.87,231.27
264.17,144.56
263.5,175.5
265,188.5
264.5,239
269,150
268.5,246
271.5,218.5
272.5,157.5
273.5,113.5
274.13,235.88
274.5,181.5
274.5,193
275.5,227.17
279.5,299.5
282.43,163.64
283.5,188.5
286.93,214.73
286.5,222.5
287.5,235.5
288.5,185.5
291.13,191.13
294,182
293.5,272.5
295,214
295.5,226
297.23,244.62
298.81,230.81
297.5,267.5
300.88,201.88
303.25,218.92
305.5,233.5
307.5,209.5
308,240.5
